"1","Fresh Capsicum","We are committed to sustainable farming practices, utilizing environmentally friendly methods to grow our capsicums, reducing carbon footprint.","simple","1 KG","1000","99","4","3.8","5","","","","","","","1","1","","","VEG01","","in_stock","Farm-Fresh Green Capsicum","18","8","","","","1","1","1","1","1","fresh-capsicum","1","3","1","1","2023-08-24T08:52:33.000000Z","2","","","","","564.89","[0,0,0,0,0]","",""
"2","Handpicked Tomatoes","From salads to sauces, our tomatoes can be used in various recipes, providing customers with a versatile ingredient for their culinary creations. We prioritize delivering tomatoes that are freshly harvested, ensuring customers receive the highest level of freshness and taste.","simple","2 KG","2000","49","8","8","","","","","","","","1","1","","","VEG02","","in_stock","Handpicked Tomatoes","42","42","","","","1","1","1","1","1","handpicked-tomatoes","1","3","1","1","2023-08-24T09:07:01.000000Z","2","","","","","564.89","[0,0,0,0,0]","",""
"3","Deliciously Ripe Peach","Incorporate our Deliciously Ripe Peaches into your healthy lifestyle or relish them as an occasional indulgence. Whichever way you choose to enjoy them, be prepared for a symphony of flavors that celebrate the natural goodness of this summer fruit.","simple","3 KG","3000","54","9","8.55","5","","","","","","","1","1","","","FRUIT01","","in_stock","Deliciously Ripe Peach","35","35","","","","1","1","1","1","1","deliciously-ripe-peach","1","4","1","1","2023-08-24T09:12:12.000000Z","2","","","","","733.91","[0,0,0,0,0]","",""
"4","Premium Organic Onion","Our premium organic onions are certified to be free from synthetic fertilizers, pesticides, and genetic modification, ensuring a healthier and safer choice for consumers.","simple","3 KG","3000","55","10","9.9","1","","","","","","","1","1","","","VEG03","","in_stock","Premium Organic Onion","48","","","","","1","1","1","1","1","premium-organic-onion","1","3","1","1","2023-08-24T09:23:16.000000Z","","","","","","","[0,0,0,0,0]","",""
"5","Superior Quality Amla","Nutrient-Rich Superfood: Amala is packed with essential nutrients, vitamins, and minerals, making it a highly nutritious addition to anyone's diet.","simple","5 KG","1500","27","7","6.72","4","","","","","","","1","1","","","FRUIT02","","in_stock","Superior Quality Amla","52","52","","","","1","1","1","1","1","superior-quality-amla","1","4","1","1","2023-08-24T09:28:03.000000Z","","","","","","","[0,0,0,0,0]","",""
"6","Gourmet Organic Cabbage","Our gourmet organic cabbage is carefully cultivated to ensure the highest quality and freshness for our customers. Packed with essential vitamins and minerals, our organic cabbage offers a healthy addition to any diet.","simple","1 KG","1000","59","3","3","","","","","","","","1","1","","","VEG04","1","in_stock","Gourmet Organic Cabbage","14","14","","","","1","1","1","1","1","gourmet-organic-cabbage","1","3","1","1","2023-08-24T09:29:22.000000Z","2","","","","","564.89","[0,0,0,0,0]","",""
"7","Naturally Grown Beetroot","Our beetroot contains natural nitrates that help lower blood pressure, promoting cardiovascular health and attracting health-conscious customers.","simple","2 KG","2000","65","6","5.88","2","","","","","","","1","1","","","VEG05","","in_stock","Naturally Grown Beetroot","12","","","","","1","1","1","1","1","naturally-grown-beetroot","1","3","1","1","2023-08-24T09:35:35.000000Z","","","","","","","[0,0,0,0,0]","",""
"8","Nature's Sweet Banana","Nutrient-rich: Packed with essential vitamins, minerals, and dietary fiber, our bananas offer a healthy and nutritious choice for consumers.","simple","6 KG","2400","11","60","55.8","7","","","","","","","1","1","","","FRUIT03","","in_stock","Nature's Sweet Banana","55","55","","","","1","1","1","1","1","nature-s-sweet-banana","1","4","1","1","2023-08-24T09:43:21.000000Z","2","","","","","733.91","[0,0,0,0,0]","",""
"9","Nutrient-Rich Eggplant","Our eggplants are carefully packed to ensure an extended shelf life, allowing customers to enjoy their freshness for longer periods.","simple","3 KG","3000","62","9","8.55","5","","","","","","","1","1","","","VEG06","","in_stock","Nutrient-Rich Eggplant","26","26","","","","1","1","1","1","1","nutrient-rich-eggplant","1","3","1","1","2023-08-24T09:46:10.000000Z","6","2","","","4","815.83","[0,0,1,0,1]","",""
"10","Juicy Green Kiwi","Great Taste: Our Kiwi is incredibly delicious, with a perfect balance of sweetness and tanginess that will leave your taste buds craving for more.","simple","7 KG","2500","6","25","12.5","50","","","","","","","1","1","","","FRUIT04","","in_stock","Juicy Green Kiwi","63","","","","","1","1","1","1","1","juicy-green-kiwi","1","4","1","1","2023-08-24T09:51:33.000000Z","6","2","","","3.5","1103.09","[0,1,0,0,1]","",""
"11","Fresh Organic Garlic","Rich in antioxidants and known for its potential immune-boosting properties, our fresh organic garlic offers various health benefits for consumers.","simple","1 KG","1000","67","4","3.2","20","","","","","","","1","1","","","VEG07","","in_stock","Fresh Organic Garlic","33","33","","","","1","1","1","1","1","fresh-organic-garlic","1","3","1","1","2023-08-24T09:56:27.000000Z","6","2","","","2","383.37","[1,0,1,0,0]","",""
"12","Organic Oranges","Premium Quality: Our oranges are sourced from the finest orchards, ensuring you receive the freshest and highest quality fruit.","classified","1 KG","2500","9","3","2.79","7","1","","","","","","1","1","","","FRUIT05","1","in_stock","Organic Oranges","65","65","","","","","1","1","1","1","organic-oranges","1","4","1","1","2023-08-24T10:02:12.000000Z","6","2","","","3.5","1103.09","[0,1,0,0,1]","[15,6,9,3,20,43]",""
"13","Nourishing Peas","Our Nourishing Peas are sourced from premium suppliers, ensuring superior quality for our customers.","simple","4 KG","4000","77","12","10.56","12","","","","","","","1","1","","","VEG08","","in_stock","Nourishing Peas","70","70","","","","1","1","1","1","1","nourishing-peas","1","3","1","1","2023-08-24T10:06:59.000000Z","6","2","","","1.5","383.37","[1,1,0,0,0]","",""
